id,title,author,first_publish_year,rating,author_encoded,cluster
36,Nineteen Eighty-Four,George Orwell,1949,4.0,10,0
37,Peter Pan,J. M. Barrie,1911,4.04,6,0
38,The Souls of Black Folk,W. E. B. Du Bois,1903,4.0,2,0
39,Animal Farm,George Orwell,1945,4.0,10,0
40,Of Human Bondage,William Somerset Maugham,1915,4.15,13,0
41,The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,1911,5.0,15,3
42,Love Insurance,Earl Derr Biggers,1914,4.0,2,0
43,The moon and sixpence,William Somerset Maugham,1919,5.0,13,3
44,Chronicles of Avonlea,Lucy Maud Montgomery,1912,5.0,12,3
45,White Fang,Jack London,1905,4.03,22,0
46,The Prophet,Kahlil Gibran,1900,4.23,1,0
47,The Rainbow,David Herbert Lawrence,1915,5.0,12,3
48,The Jungle,Upton Sinclair,1905,3.77,6,0
49,The Magic World,Edith Nesbit,1959,5.0,11,3
50,Der Proceß,Franz Kafka,1925,4.0,4,0
51,The Poison Belt,Arthur Conan Doyle,1913,5.0,24,3
52,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,5.0,14,1
53,L’étranger,Albert Camus,1942,5.0,6,3
54,Sons and Lovers,David Herbert Lawrence,1913,4.0,12,0
55,Prester John,John Buchan,1910,5.0,15,3
56,Burning Daylight,Jack London,1910,4.0,22,0
57,Puck of Pook's Hill,Rudyard Kipling,1900,5.0,21,3
58,Whose Body?,Dorothy L. Sayers,1923,5.0,13,3
59,Orlando,Virginia Woolf,1928,3.87,11,0
60,Jacob's Room,Virginia Woolf,1922,4.0,11,0
61,A Little Princess,Frances Hodgson Burnett,1905,4.23,8,0
62,A Room of One's Own,Virginia Woolf,1929,5.0,11,3
63,Daddy-Long-Legs,Jean Webster,1912,4.0,3,0
64,The Fellowship of the Ring,J.R.R. Tolkien,1954,4.0,14,0
65,The blue castle,Lucy Maud Montgomery,1926,5.0,12,3
66,The Evil Shepherd,Edward Phillips Oppenheim,1922,5.0,3,3
67,The Enchanted Island of Yew,L. Frank Baum,1903,4.0,18,0
68,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1927,5.0,24,3
69,The Age of Innocence,Edith Wharton,1920,3.97,9,0
70,The Sea-Wolf,Jack London,1900,5.0,22,3
71,The Wisdom of Father Brown,Gilbert Keith Chesterton,1913,5.0,15,3
72,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,5.0,14,1
73,The Return of the King,J.R.R. Tolkien,1950,4.0,14,0
74,The Grapes of Wrath,John Steinbeck,1939,4.02,18,0
75,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,5.0,14,1
76,Mrs Dalloway,Virginia Woolf,1990,4.0,11,4
77,Death Comes for the Archbishop,Willa Cather,1926,5.0,9,3
78,The Secret Agent,Joseph Conrad,1907,4.0,21,0
79,The Waves,Virginia Woolf,1931,5.0,11,3
80,Fahrenheit 451,Ray Bradbury,1953,3.97,9,0
81,Fahrenheit 451,Ray Bradbury,1953,3.97,9,0
82,The Lord of the Rings,J.R.R. Tolkien,1954,4.54,14,3
83,Just So Stories,Rudyard Kipling,1922,4.0,21,0
84,Gone With the Wind,Margaret Mitchell,1905,5.0,1,3
85,The Curious Case of Benjamin Button,F. Scott Fitzgerald,2007,4.0,9,4
86,La Peste,Albert Camus,1942,5.0,6,3
87,Babbitt,Sinclair Lewis,1922,4.0,7,0
88,Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,5.0,3,1
89,Tarzan of the Apes,Edgar Rice Burroughs,1912,4.0,30,0
90,Im Westen nichts Neues,Erich Maria Remarque,1928,4.0,11,0
91,The Old Man and the Sea,Ernest Hemingway,1952,3.81,13,0
92,Harry Potter and the Goblet of Fire,J. K. Rowling,1993,5.0,14,1
93,Murder on the Orient Express,Agatha Christie,1933,5.0,85,2
94,Gitanjali (song offerings),Rabindranath Tagore,1910,5.0,2,3
95,A Thief in the Night,E. W. Hornung,1905,5.0,2,3
96,Charlie and the Chocolate Factory,Roald Dahl,1964,5.0,22,3
97,The warlord of Mars #3,Edgar Rice Burroughs,1919,5.0,30,3
98,The League of the Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1919,5.0,7,3
99,The Enchanted April,Elizabeth von Arnim,1922,4.0,7,0
100,The Old Man in the Corner,"Emmuska Orczy, Baroness Orczy",1908,4.0,7,0
101,Чайка,Антон Павлович Чехов,1915,4.0,13,0
102,Мы,Евгений Иванович Замятин,1924,5.0,1,3
103,My Ántonia,Willa Cather,1918,3.84,9,0
104,"Thuvia, Maid of Mars",Edgar Rice Burroughs,1916,4.0,30,0
105,The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,5.0,15,3
106,The Princess and the Goblin,George MacDonald,1907,4.0,9,0
107,Siddhartha,Hermann Hesse,1922,4.08,11,0
108,The Murder of Roger Ackroyd,Agatha Christie,1926,5.0,85,2
109,Poirot investigates,Agatha Christie,1924,5.0,85,2
110,Cien años de soledad,Gabriel García Márquez,1967,5.0,13,1
111,The land of mist,Arthur Conan Doyle,1926,5.0,24,3
112,The Angel of Terror,Edgar Wallace,1923,4.0,5,0
113,The Bat,Mary Roberts Rinehart,1926,4.0,7,0
114,Witch Wood,John Buchan,1927,5.0,15,3
115,Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,5.0,14,1
116,Of Mice and Men,John Steinbeck,1937,3.89,18,0
117,Der Zauberberg,Thomas Mann,1924,4.0,9,0
118,The three hostages,John Buchan,1924,5.0,15,3
119,To Kill a Mockingbird,Harper Lee,1960,4.26,3,0
120,To Kill a Mockingbird,Harper Lee,1960,4.26,3,0
121,Winnie-the-Pooh,A. A. Milne,1925,5.0,10,3
122,Lord of Flies,William Golding,1954,4.0,6,0
123,The Beetle,Richard Marsh,1917,4.0,1,0
124,Rebecca,Daphne du Maurier,1938,4.25,6,0
125,And Then There Were None,Agatha Christie,1939,4.28,85,2
126,The house without a key,Earl Derr Biggers,1925,4.0,2,0
127,The Hour of the Dragon,Robert E. Howard,1977,4.0,2,4
128,A Room with a View,Edward Morgan Forster,1908,3.9,7,0
129,The Wind in the Willows,Kenneth Grahame,1908,4.02,3,0
130,The Very Hungry Caterpillar,Eric Carle,1969,4.34,16,4
131,Nostromo,Joseph Conrad,1900,4.0,21,0
132,"Arsène Lupin, gentleman-cambrioleur",Maurice Leblanc,1907,4.0,3,0
133,An American Tragedy,Theodore Dreiser,1900,5.0,4,3
134,"Island of Sheep, the",John Buchan,1920,4.0,15,0
135,Childhood Annotated,Лев Толстой,1961,4.0,10,4
136,"The little white bird, or, Adventures in Kensington gardens",J. M. Barrie,1902,4.0,6,0
137,The Good Earth,Pearl S. Buck,1931,4.0,14,0
138,The Horse and His Boy,C.S. Lewis,1954,5.0,14,3
139,Angels & Demons,Dan Brown,2000,5.0,6,1
140,For Whom the Bell Tolls,Ernest Hemingway,1940,3.98,13,0
141,Howards End,Edward Morgan Forster,1910,3.96,7,0
142,Das Schloß,Franz Kafka,1926,5.0,4,3
143,Death on the Nile,Agatha Christie,1937,5.0,85,2
144,Peter Pan in Kensington Gardens,J. M. Barrie,1906,4.0,6,0
145,The Magician's Nephew,C.S. Lewis,1955,4.0,14,0
146,The Red Thumb Mark,R. Austin Freeman,1907,4.0,8,0
147,The Master Key,L. Frank Baum,1901,4.0,18,0
148,The Sun Also Rises,Ernest Hemingway,1926,3.79,13,0
149,The Tale of Peter Rabbit,Beatrix Potter,1900,4.0,21,0
150,The Free Fishers,John Buchan,1934,5.0,15,3
151,The power-house,John Buchan,1916,4.0,15,0
152,Midwinter,John Buchan,1923,4.0,15,0
153,Mont-Saint-Michel and Chartres,Henry Adams,1904,5.0,1,3
154,Tender Buttons,Gertrude Stein,1914,5.0,2,3
155,Il nome della rosa,Umberto Eco,1980,5.0,8,1
156,Tarzan the Terrible (#8),Edgar Rice Burroughs,1921,4.0,30,0
157,The book of tea,Okakura Kakuzo,1900,5.0,1,3
158,Matilda,Roald Dahl,1988,4.33,22,4
159,James and the Giant Peach,Roald Dahl,1961,4.03,22,4
160,Charlotte's Web,E. B. White,1952,5.0,3,3
161,The Bell Jar,Sylvia Plath,1963,4.06,2,4
162,The Diary of a Nobody,George Grossmith,1921,5.0,1,3
163,The Silmarillion,J.R.R. Tolkien,1977,4.02,14,4
164,John Thorndyke's Cases,R. Austin Freeman,1909,4.0,8,0
165,The Handmaid's Tale,Margaret Atwood,1985,4.0,15,4
166,Prince Caspian,C.S. Lewis,1951,5.0,14,3
167,Northern Lights,Philip Pullman,1995,5.0,13,1
168,MAIN STREET,Sinclair Lewis,1920,4.0,7,0
169,The Drums of Jeopardy,Harold MacGrath,1920,4.0,1,0
170,Fantastic Mr Fox,Roald Dahl,1970,5.0,22,1
171,Fuente Ovejuna,Lope de Vega,1909,5.0,2,3
172,The Alchemist,Paulo Coelho,1988,3.92,5,4
173,The Beasts of Tarzan,Edgar Rice Burroughs,1916,4.0,30,0
174,The Martian Chronicles,Ray Bradbury,1950,4.16,9,0
175,The BFG,Roald Dahl,1980,4.23,22,4
176,In the days of the comet,H. G. Wells,1906,4.0,24,0
177,Catch-22,Joseph Heller,1961,3.99,2,4
178,Lolita,Vladimir Nabokov,1955,3.87,13,0
179,A Clockwork Orange,Anthony Burgess,1962,4.0,5,4
180,The A.B.C. Murders,Agatha Christie,1936,5.0,85,2
181,4:50 from Paddington,Agatha Christie,1957,5.0,85,2
182,Demian,Hermann Hesse,1919,4.14,11,0
183,The Catcher in the Rye,J. D. Salinger,1900,3.8,4,0
184,Le fantôme de l'opéra,Gaston Leroux,1911,4.0,3,0
185,La Chute,Albert Camus,1917,5.0,6,3
186,The Daughter of Time,Josephine Tey,1951,4.0,8,0
187,Один день Ивана Денисовича,Александр Исаевич Солженицын,1960,5.0,4,3
188,El amor en los tiempos del cólera,Gabriel García Márquez,1985,5.0,13,1
189,The Case of Jennie Brice,Mary Roberts Rinehart,1915,4.0,7,0
190,Flappers and Philosophers,F. Scott Fitzgerald,1920,4.0,9,0
191,Goodnight Moon,Margaret Wise Brown,1947,4.32,7,0
192,Tales of the Jazz Age,F. Scott Fitzgerald,1922,4.0,9,0
193,K,Mary Roberts Rinehart,1915,4.0,7,0
194,I Will Repay,"Emmuska Orczy, Baroness Orczy",1900,4.0,7,0
195,The Hill of Dreams,Arthur Machen,1907,4.0,5,0
196,On The Road,Jack Kerouac,1957,5.0,10,3
197,On The Beach,Nevil Shute,1957,4.0,8,0
198,The Kite Runner,Khaled Hosseini,2003,4.35,3,4
199,Genji monogatari,Murasaki Shikibu,1900,5.0,1,3
200,Harry Potter and the Deathly Hallows,J. K. Rowling,2007,5.0,14,1
201,Brewster's millions,George Barr McCutcheon,1902,5.0,5,3
202,The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,5.0,8,1
203,A Murder Is Announced,Agatha Christie,1950,4.0,85,2
204,Sonnenfinsternis,Arthur Koestler,1940,4.0,2,0
205,"The Complete Sherlock Holmes [4 novels, 56 stories]",Arthur Conan Doyle,1900,4.0,24,0
206,It Can't Happen Here,Sinclair Lewis,1935,4.0,7,0
207,The Murder at the Vicarage,Agatha Christie,1930,4.0,85,2
208,The Razor's Edge,William Somerset Maugham,1944,4.0,13,0
209,The Silver Chair,C.S. Lewis,1953,5.0,14,3
210,The Mystery of the Blue Train,Agatha Christie,1928,4.0,85,2
211,All Roads Lead to Calvary,Jerome Klapka Jerome,1919,4.0,3,0
212,The Voyages of Doctor Dolittle,Hugh Lofting,1922,5.0,3,3
213,L'immoraliste,André Gide,1902,4.0,3,0
214,Twilight,Stephenie Meyer,2005,5.0,6,1
215,The Big Sleep,Raymond Chandler,1939,4.0,7,0
216,Markens grøde,Knut Hamsun,1917,5.0,6,3
217,Evil Under the Sun,Agatha Christie,1941,5.0,85,2
218,Little House in the Big Woods,Laura Ingalls Wilder,1932,5.0,9,3
219,Victory,Joseph Conrad,1915,5.0,21,3
220,Carrie,Stephen King,1974,3.99,70,2
221,Der Kleine Prinz (German),Antoine de Saint-Exupéry,1988,5.0,4,1
222,The Mirror Crack'd from Side to Side,Agatha Christie,1960,4.0,85,2
223,Brood of the Witch-Queen,Sax Rohmer,1924,4.0,4,0
224,The Big Four,Agatha Christie,1927,5.0,85,2
225,The Body in the Library,Agatha Christie,1942,5.0,85,2
226,A silent witness,R. Austin Freeman,1929,4.0,8,0
227,"Zuleika Dobson, or, An Oxford love story",Sir Max Beerbohm,1911,5.0,1,3
228,Canne al vento,Grazia Deledda,1913,4.0,1,0
229,After the Funeral,Agatha Christie,1953,4.0,85,2
230,The Godfather,Mario Puzo,1969,5.0,9,1
231,Tarzan the Untamed (Book #7),Edgar Rice Burroughs,1920,4.0,30,0
232,The moving finger,Agatha Christie,1942,5.0,85,2
233,Crooked House,Agatha Christie,1949,5.0,85,2
234,At Bertram's Hotel,Agatha Christie,1965,5.0,85,2
235,"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,1973,4.0,3,4
236,Osudy dobrého vojáka Švejka za světové války,Jaroslav Hašek,1926,4.0,1,0
237,They Do It with Mirrors,Agatha Christie,1952,5.0,85,2
238,Abel Sánchez,Miguel de Unamuno,1917,5.0,4,3
239,Peril at End House,Agatha Christie,1932,4.0,85,2
240,The Witches,Roald Dahl,1983,4.18,22,4
241,The Book Thief,Markus Zusak,1998,4.39,3,4
242,La casa de los espíritus,Isabel Allende,1982,5.0,17,1
243,Breakfast at Tiffany's,Truman Capote,1956,4.0,6,0
244,The Giver,Lois Lowry,1993,4.0,7,4
245,The Last Battle,C.S. Lewis,1956,5.0,14,3
246,The Franchise Affair (Inspector Alan Grant #3),Josephine Tey,1905,4.0,8,0
247,Sparkling Cyanide,Agatha Christie,1945,4.0,85,2
248,Curtain,Agatha Christie,1975,5.0,85,2
249,Eva Luna,Isabel Allende,1987,4.0,17,4
250,'Salem’s Lot,Stephen King,1975,4.0,70,2
251,The Four Just Men,Edgar Wallace,1905,5.0,5,3
252,Ender's Game,Orson Scott Card,1985,5.0,16,1
253,The Subtle Knife,Philip Pullman,1997,5.0,13,1
254,Perfume,Patrick Süskind,1985,5.0,1,1
255,Beloved,Toni Morrison,1987,5.0,10,1
256,The Pearl,John Steinbeck,1945,3.55,18,0
257,Sleeping Murder,Agatha Christie,1940,4.0,85,2
258,Hercule Poirot's Christmas,Agatha Christie,1939,5.0,85,2
259,Death in the Clouds,Agatha Christie,1935,5.0,85,2
260,Anthem,Ayn Rand,1936,3.61,4,0
261,Bridge to Terabithia,Katherine Paterson,1972,4.06,4,4
262,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1950,3.89,2,0
263,Appointment with Death,Agatha Christie,1938,4.0,85,2
264,A Caribbean Mystery,Agatha Christie,1964,4.0,85,2
265,Murder in Mesopotamia,Agatha Christie,1936,5.0,85,2
266,A Modern Utopia,H. G. Wells,1900,4.0,24,0
267,Vol de nuit,Antoine de Saint-Exupéry,1931,5.0,4,3
268,The Hollow,Agatha Christie,1946,4.0,85,2
269,Justine,Marquis de Sade,1900,5.0,2,3
270,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,4.0,2,4
271,Five Little Pigs,Agatha Christie,1942,4.0,85,2
272,Bulldog Drummond,Herman Cyril McNeile,1919,4.0,2,0
273,Ann Veronica,H. G. Wells,1909,4.0,24,0
274,Murder in Three Acts,Agatha Christie,1934,5.0,85,2
275,The Voyage of the Dawn Treader,C.S. Lewis,1952,4.0,14,0
276,A Farewell to Arms,Ernest Hemingway,1929,3.82,13,0
277,Noli Me Tangere,José Rizal,1902,5.0,2,3
278,The Gruffalo,Julia Donaldson,1999,5.0,14,1
279,Sir Nigel,Arthur Conan Doyle,1906,4.0,24,0
280,Misery,Stephen King,1978,4.23,70,2
281,Nemesis,Agatha Christie,1970,5.0,85,2
282,Elephants Can Remember,Agatha Christie,1969,5.0,85,2
283,"One, Two, Buckle My Shoe",Agatha Christie,1940,4.0,85,2
284,Cards on the Table,Agatha Christie,1936,5.0,85,2
285,The Color Purple,Alice Walker,1976,4.27,2,4
286,La nausée,Jean-Paul Sartre,1938,4.0,1,0
287,Dawn,Eleanor Hodgman Porter,1919,4.0,4,0
288,Watership Down,Richard Adams,1972,5.0,3,1
289,Foundation,Isaac Asimov,1951,5.0,25,3
290,Jamaica Inn,Daphne du Maurier,1936,5.0,6,3
291,"Danny, The Champion of the World",Roald Dahl,1975,5.0,22,1
292,A Pocket Full of Rye,Agatha Christie,1953,5.0,85,2
293,Pan,Knut Hamsun,1900,4.0,6,0
294,Игрокъ,Фёдор Михайлович Достоевский,1900,5.0,15,3
295,Как закалялась сталь,Nikolay Ostrovsky,1936,5.0,1,3
296,"I, Robot",Isaac Asimov,1950,5.0,25,3
297,Le pont de la rivière kwaï,Pierre Boulle,1952,5.0,2,3
298,The Bridge of San Luis Rey,Thornton Wilder,1927,5.0,4,3
299,The Shining,Stephen King,1977,5.0,70,2
300,The Pillars of the Earth,Ken Follett,1989,5.0,20,1
301,It,Stephen King,1925,4.24,70,2
302,Ordeal by Innocence,Agatha Christie,1958,4.0,85,2
303,The Firm,John Grisham,1991,4.06,31,4
304,Amerika,Franz Kafka,1927,4.0,4,0
305,Dead Man's Folly,Agatha Christie,1956,4.0,85,2
306,The Incredible Journey,Sheila Burnford,1960,5.0,1,3
307,Riceyman Steps,Arnold Bennett,1923,4.0,8,0
308,The Sound and the Fury,William Faulkner,1929,3.86,12,0
309,La sombra del viento,Carlos Ruiz Zafón,2001,5.0,8,1
310,The Tale of Benjamin Bunny,Beatrix Potter,1904,4.0,21,0
311,Jurassic Park,Michael Crichton,1990,5.0,18,1
312,They Came to Baghdad,Agatha Christie,1951,5.0,85,2
313,Deception Point,Dan Brown,2001,3.76,6,4
314,Oblomov,Ivan Aleksandrovich Goncharov,1913,4.0,2,0
315,Things Fall Apart,Chinua Achebe,1958,5.0,4,3
316,The Clocks,Agatha Christie,1963,5.0,85,2
317,Slaughterhouse-Five,Kurt Vonnegut,1968,4.1,11,4
318,Decline and Fall,Evelyn Waugh,1928,5.0,7,3
319,Number the Stars,Lois Lowry,1901,4.19,7,0
320,The Green Mile,Stephen King,1996,4.48,70,2
321,Murder is Easy,Agatha Christie,1939,4.0,85,2
322,Little House on the Prairie,Laura Ingalls Wilder,1935,5.0,9,3
323,Mother,Максим Горький,1907,4.0,1,0
324,The Restaurant at the End of the Universe,Douglas Adams,1980,5.0,8,1
325,Dumb Witness,Agatha Christie,1937,4.0,85,2
326,Cat Among the Pigeons,Agatha Christie,1959,5.0,85,2
327,Penrod,Booth Tarkington,1914,5.0,5,3
328,Death of a Salesman,Arthur Miller,1940,3.58,4,0
329,East of Eden,John Steinbeck,1952,4.42,18,0
330,Pet Sematary,Stephen King,1925,4.08,70,2
331,The Blind Assassin,Margaret Atwood,2000,3.96,15,4
332,La Fiesta del Chivo,Mario Vargas Llosa,2000,5.0,16,1
333,Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,4.09,18,4
334,El árbol de la ciencia,Pío Baroja,1911,5.0,1,3
335,Third Girl,Agatha Christie,1966,5.0,85,2
336,The Clan of the Cave Bear,Jean M. Auel,1900,4.0,6,0
337,The Screwtape Letters,C.S. Lewis,1942,4.27,14,0
338,Brideshead Revisited,Evelyn Waugh,1945,4.0,7,0
339,Major Barbara,George Bernard Shaw,1909,4.0,3,0
340,Bonjour tristesse,Françoise Sagan,1954,4.0,3,0
341,The Caine mutiny,Herman Wouk,1951,5.0,9,3
342,Архипелаг ГУЛАГ,Александр Исаевич Солженицын,1970,4.0,4,4
343,New Moon,Stephenie Meyer,2006,5.0,6,1
344,Les Bijoux de la Castafiore,Hergé,1939,4.0,20,0
345,The Thirteen Problems,Agatha Christie,1932,4.0,85,2
346,A tree grows in Brooklyn,Betty Smith,1943,5.0,1,3
347,Buddenbrooks,Thomas Mann,1909,5.0,9,3
348,The Fixer,Bernard Malamud,1901,5.0,5,3
349,The Dead Zone,Stephen King,1979,5.0,70,2
350,Dom Casmurro,Joaquim Maria Machado de Assis,1900,5.0,4,3
351,A Game of Thrones,George R. R. Martin,1996,4.0,10,4
352,The Left Hand of Darkness,Ursula K. Le Guin,1969,4.1,15,4
353,The House at Pooh Corner,A. A. Milne,1925,5.0,10,3
354,Ranma 1/2,高橋留美子,1992,4.0,1,4
355,The Labours of Hercules,Agatha Christie,1947,5.0,85,2
356,Mrs. McGinty's Dead,Agatha Christie,1951,5.0,85,2
357,Towards Zero,Agatha Christie,1944,4.0,85,2
358,Breaking Dawn,Stephenie Meyer,2008,5.0,6,1
359,Pantaleón y las visitadoras,Mario Vargas Llosa,1973,5.0,16,1
360,Brat Farrar,Josephine Tey,1949,5.0,8,3
361,The Good Soldier,Ford Madox Ford,1915,4.0,1,0
362,Conversación en La Catedral,Mario Vargas Llosa,1969,4.0,16,4
363,Eclipse,Stephenie Meyer,2006,5.0,6,1
364,Inuyasha,Rumiko Takahashi,1998,5.0,1,1
365,The History of Mr. Polly,H. G. Wells,1900,5.0,24,3
366,A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,1936,4.0,8,0
367,The Sittaford Mystery,Agatha Christie,1931,5.0,85,2
368,Digital Fortress,Dan Brown,1998,3.7,6,4
369,Five on a Treasure Island,Enid Blyton,1942,5.0,38,3
370,Death Comes as the End,Agatha Christie,1944,5.0,85,2
371,Storm Island,Ken Follett,1978,5.0,20,1
372,The Man in the High Castle,Philip K. Dick,1962,4.0,18,4
373,The Crucible,Arthur Miller,1953,3.61,4,0
374,The Stand,Stephen King,1978,4.35,70,2
375,The Runaway Jury,John Grisham,1996,4.0,31,4
376,De amor y de sombra,Isabel Allende,1984,4.0,17,4
377,The Mysterious Stranger,Mark Twain,1916,5.0,25,3
378,Hickory Dickory Death,Agatha Christie,1955,5.0,85,2
379,Why Didn't they Ask Evans?,Agatha Christie,1935,4.0,85,2
380,Coraline,Neil Gaiman,2002,4.13,15,4
381,Como agua para chocolate,Laura Esquivel,1989,5.0,1,1
382,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,1967,4.0,3,4
383,Novels (The Call of the Wild / White Fang),Jack London,1962,4.0,22,4
384,The Once and Future King,T. H. White,1939,4.07,6,0
385,Nesnesitelná lehkost bytí,Milan Kundera,1984,4.0,12,4
386,When Patty Went to College,Jean Webster,1903,5.0,3,3
387,"San Manuel Bueno, mártir",Miguel de Unamuno,1933,4.0,4,0
388,A Wizard of Earthsea,Ursula K. Le Guin,1968,5.0,15,1
389,Elogio de la madrasta,Mario Vargas Llosa,1988,5.0,16,1
390,Catching Fire,Suzanne Collins,2009,5.0,9,1
391,Hatchet,Gary Paulsen,1986,5.0,4,1
392,La tía Julia y el escribidor,Mario Vargas Llosa,1977,5.0,16,1
393,Tale of Mr. Jeremy Fisher,Beatrix Potter,1906,4.0,21,0
394,John Barleycorn,Jack London,1913,4.0,22,0
395,Tarzan of the Apes Tale #1 the Man-Child,Edgar Rice Burroughs,2002,4.0,30,4
396,Cujo,Stephen King,1981,5.0,70,2
397,Endless Night,Agatha Christie,1967,5.0,85,2
398,The Client,John Grisham,1993,4.0,31,4
399,Taken at the Flood,Agatha Christie,1900,4.0,85,2
400,Stranger in a Strange Land,Robert A. Heinlein,1961,3.92,28,4
401,Alias Grace,Margaret Atwood,1996,4.0,15,4
402,Strong Poison,Dorothy L. Sayers,1930,5.0,13,3
403,Jane Austen,Louise Ross,1995,5.0,1,1
404,The shadow-line,Joseph Conrad,1917,5.0,21,3
405,A Time to Kill,John Grisham,1989,5.0,31,1
406,El coronel no tiene quien le escriba,Gabriel García Márquez,1961,5.0,13,3
407,The Amber Spyglass,Philip Pullman,1999,5.0,13,1
408,Second Foundation,Isaac Asimov,1953,5.0,25,3
409,My Cousin Rachel,Daphne du Maurier,1900,5.0,6,3
410,Tom Sawyer,Mark Twain,1931,5.0,25,3
411,Antic Hay,Aldous Huxley,1923,5.0,10,3
412,Подросток,Фёдор Михайлович Достоевский,1916,4.0,15,0
413,By the Pricking of My Thumbs,Agatha Christie,1968,5.0,85,2
414,I Capture the Castle,Dodie Smith,1948,3.99,2,0
415,Flowers for Algernon,Daniel Keyes,1966,5.0,1,1
416,Dog Days,Jeff Kinney,2004,5.0,12,1
417,Ficciones,Jorge Luis Borges,1945,4.41,5,0
418,El filibusterismo,José Rizal,1900,5.0,2,3
419,Firestarter,Stephen King,1980,4.0,70,2
420,The Exorcist,William Peter Blatty,1971,4.0,2,4
421,The Outsiders,S. E. Hinton,1967,4.14,2,4
422,The Lightning Thief,Rick Riordan,2005,5.0,18,1
423,Hornblower in the West Indies,C. S. Forester,1958,4.0,5,0
424,Kane & Abel,Jeffrey Archer,1979,5.0,24,1
425,Sad Cypress,Agatha Christie,1939,4.0,85,2
426,Otoño Del Patriarca,Gabriel García Márquez,1973,4.0,13,4
427,Life of Pi,Yann Martel,2001,3.94,2,4
428,The Drawing of the Three,Stephen King,1987,4.0,70,2
429,The Red Pony,John Steinbeck,1937,4.0,18,0
430,The Song of the Lark,Willa Cather,1915,5.0,9,3
431,The Magic Finger,Roald Dahl,1966,5.0,22,1
432,The Chessmen of Mars,Edgar Rice Burroughs,1922,5.0,30,3
433,The Bad Beginning,Lemony Snicket,1999,5.0,14,1
434,A Passage to India,Edward Morgan Forster,1924,5.0,7,3
